inmobiliaria,precio canon,administracion,zona,ciudad,habitaciones,baños,metros_cuadrados,descripcion
Gestiones Inmobiliarias F. T. SAS,3880000.0,620000.0,Chapinero,Bogotá,3,2,75.0,"Moderno apartamento AMOBLADO con terraza ubicado en Chapinero Central. El apartamento cuenta en el primer piso con zona social en un ambiente con doble altura y cocina abierta. En el segundo piso cuenta dos terrazas y con tres habitaciones, la principal con baño, las otras dos habitaciones comparten baño completo. La tercera habitación actualmente está adaptada como estudio. En el segundo piso cuenta con zona de lavandería independiente. El apartamento cuenta con dos parqueaderos."
Houm,4500000.0,0.0,Chapinero,Bogotá,2,2,163.0,"[ARR] ID HOUM: 161634 Entérate de todos los beneficios al arrendar con nosotros: • Asistencia e intermediación con el propietario • Firma tu contrato online • Arrienda sin burocracia, sin papeleos ni notarías Departamento en arriendo, ubicado en el barrio Pardo Rubio, con una superficie construida de 163.00 m² y superficie total de 163.00 m². Sus principales características son: • No amoblado • 2 dormitorios • 2 baños • Admite mascotas • 2 parqueaderos • Año de construcción: 2020 • Bodega Si arriendas con nosotros, te brindamos asesoría personalizada durante todo el proceso. Requisitos para arrendar con nosotros: • Arrienda sin codeudor*, fácil, rápido y seguro • Demuestra un ingreso mensual neto de al menos 2.5 veces el valor del arriendo (los ingresos mensuales se pueden complementar por las personas que vivirán en este inmueble) • Completa tu información básica y mándanos tus extractos bancarios o documentos que demuestren tus ingresos • No debes tener reportes negativos en centrales de crédito IMPORTANTE: • Te invitamos a agendar una visita a esta propiedad • Si tienes alguna duda por favor puedes solicitar más información desde los portales como también contactarte directamente con nosotros Más que una inmobiliaria, somos Houm. *Aplican T&C"
Inmovibe,5000000.0,0.0,Chapinero,Bogotá,2,1,70.0,"ARRIENDO APARTAMENTO AMOBLADO – EL NOGAL Canon: $5.000.000 (administración incluida) Área: 70 m² Piso alto Apartamento amoblado con vista espectacular a los cerros y a la carrera novena, ubicado en uno de los sectores más exclusivos de Bogotá. Distribución: 2 habitaciones 1 baño Walking closet Cocina abierta Sala comedor 1 parqueadero Zona de lavandería en el edificio. Ideal para pareja o profesionales que busquen ubicación estratégica, vista privilegiada y apartamento listo para habitar. Ref Arq"
Eliana Galan,1650000.0,0.0,Chapinero,Bogotá,1,1,24.65,"Apartaestudio para estrenar, con excelentes acabados, 6 piso, espacio abierto, cocina, baño, iluminado, estrato 4. Cerca a vías de acceso, parque, estaciones de transmilenio, paraderos SITP, zona bancaria, zona comercial y gastronomica, Almacenes de cadena y Universidades."
Inmobiliaria Prego SAS,3200000.0,0.0,Chapinero,Bogotá,2,2,65.0,"Hoy te traemos un lindo y cogedor apartamento en Chapinero Alto, cerca a la zona G, sector de Nueva Granada, amplio, iluminado y con un ambiente tranquilo, ideal para quienes buscan comodidad, ubicación, cerca a universidades, zonas gastronómicas, y excelentes vías; el apartamento consta de sala comedor amplia, balcón, cocina integral, zona de ropas, dos habitaciones la principal con walking closet y baño privado, un segundo baño de habitaciones, parqueadero cubierto, el edificio te ofrece, salón social, gym, sauna, jacuzzi, bicicletero, vigilancia 24/7 Ven y lo conoces te encantará!!"
Rentabien S.A.S,1100000.0,301200.0,Chapinero,Bogotá,1,1,22.0,"Aparta-estudio tipo loft en arriendo, ubicado en tercer piso con ascensor, cuenta con un closet, un baño, pisos en madera laminada, cocina integral eléctrica, calentador eléctrico, zona de lavandería, el apartamento es vista exterior, tiene cortinas en tela, el edificio tiene terraza BBQ, gimnasio."
,2400000.0,0.0,Chapinero,Bogotá,1,1,21.0,"Este acogedor APARTAESTUDIO DE UN SOLO AMBIENTE Y CON UNA FABULOSA TERRAZA DE 10 M2 se encuentra en Chapinero Alto, recién remodelado, es ideal para quienes buscan independencia y comodidad en una de las zonas más dinámicas de la ciudad. Ubicado en un segundo piso, la propiedad cuenta con un diseño funcional, closet amplio y cocina practica. Cuenta con seguridad 24 horas, proporcionando tranquilidad. No cuenta con estacionamiento para carro, sin embargo, su ubicación estratégica permite acceder fácilmente a opciones de transporte público y disfrutar de la amplia oferta de servicios, restaurantes y entretenimiento con las que cuenta la zona. Se alquila con lavadora. El edificio cuenta con terraza, un sencillo salón comunal y gimnasio. No pierdas esta oportunidad de vivir en uno de los barrios más deseados de Bogotá."
,8800000.0,0.0,Chapinero,Bogotá,2,3,135.0,"ARRIENDO lindo y acogedor apto en ROSALES (circunvalar con 78), exterior con vista verde al occidente, piso 4 ? $ ***con admin incluida * 135 metros * ⁠2 alcobas * ⁠3 baños * ⁠Family Room * ⁠Sala comedor con chimenea y salida a balcón * ⁠Cocina semi abierta * ⁠ Zonq de lavandería independiente * ⁠Cuarto y baño de servicio * ⁠2 parqueaderos * ⁠Depósito * ⁠18 años de construido Edificio con doble portería, vigilancia 24/7, gimnasio, terraza, sala de juntas, salón para escoltas, planta eléctrica, caldera y parqueaderos de visitantes"
,5372300.0,627700.0,Chapinero,Bogotá,2,2,88.0,"Bonito apartamento AMOBLADO remodelado ubicado en Rosales abajo de la circunvalar. El apartamento cuenta con amplia zona social con chimenea, comedor, cocina abierta, con zona de lavandería independiente, amplio estudio, dos habitaciones, la prinicipal con baño, baño auxiliar completo para la otra habitación. El apartamento cuenta con parqueadero independiente y depósito. El edificio cuenta con salón comunal, parque infantil y vigilancia 24 horas. (Precio Administración 2025, sin reajuste todavía)."
,5000000.0,0.0,Chapinero,Bogotá,3,3,100.0,"Descubre la elegancia y comodidad en este exclusivo apartamento en arriendo ubicado en una de las zonas más prestigiosas de la ciudad Chapinero Alto. Tipo Duplex con 3 habitaciones amplias y luminosas, 3 baños modernos y funcionales, y 100 metros cuadrados distribuidos de manera inteligente para aprovechar al máximo cada espacio. Además, cuenta con 1 parqueadero (cubierto) para tu conveniencia. Disfruta de acabados de alta calidad y una vista panorámica que te dejará sin aliento. Ubicado en Conjunto residencial (ascensor, zona para niños, salón comunal, plazoleta, zonas verdes, canchas mixtas) Vive la experiencia de lujo que mereces en este inmueble único. ¡No dejes pasar esta oportunidad!"
,12000000.0,0.0,Chapinero,Bogotá,8,6,291.0,"Ofrecemos para venta o alquiler este grandioso apartamento, a pocos metros de la zona financiera de Bogotá. Ubicado en la tercera planta, a donde accedes a través de una linda escalera, cuenta con vista exterior a la ciudad. Se trata de un edificio de conservación arquitectónica, en donde encuentras prácticamente dos apartamentos, con un total de 8 habitaciones. Es perfecto para familias grandes o para aquellos que buscan mucho espacio para vivir y trabajar. El apartamento presume de una extensiva área de sala comedor con chimenea; ideal para las reuniones con amigos o para los ratos de tranquilidad en familia. La cocina está equipada con lo necesario. Incluye además una zona de lavandería separada. Aunque no cuenta con parqueaderos individuales, se ofrecen tres espacios en línea para cubrir las necesidades de estacionamiento. No lo pienses más: este apartamento representa una muy buena oportunidad en uno de los barrios más codiciados de Bogotá. ¡No la pierdas! Pide tu visita ya!"
,18000000.0,2000000.0,Chapinero,Bogotá,4,5,308.0,"ESPACIOS ABIERTOS te presenta Apartamento en venta ubicado en Rosales, cuenta con 308 mts. Disfrute de una amplia zona social con iluminación natural, vista exterior, terraza y balcón. Amplia zona de recibo y social con cocina integral y zona de lavado, 3,5 baños, 4 habitaciones, dos de ellas con baño privado, cuarto de servicio con baño, estudio y estar de alcobas, tres parqueaderos. Club House piscina, jacuzzi, BBQ, gimnasio, salón escoltas. Ubicado circunvalar con cl 72 , zona exclusiva de la ciudad rodeada de naturaleza. Un hogar pensado en su comodidad y las exigencias de la vida moderna. ¡contáctenos! 315 ocho cero tres noventa y nueve treinta."
,6750000.0,1750000.0,Chapinero,Bogotá,3,3,200.0,"Apartamento en Rosales, Chapinero. Ubicado en una prestigiosa zona residencial, este apartamento de 200 metros cuadrados combina el encanto del estilo clásico con amplios y confortables espacios. Ideal para familias que buscan un hogar elegante y funcional, este apartamento ofrece 3 habitaciones luminosas, un estudio perfecto para trabajar desde casa, una espaciosa sala comedor, cocina bien equipada, área de ropas y cuarto de servicio. Con 3 baños completos y dos terrazas (sur y norte) de aproximadamente 75 m², podrás disfrutar de vistas y aire fresco. Además, cuenta con calentador eléctrico, dos parqueaderos privados y un depósito adicional para almacenamiento extra. No dejes pasar la oportunidad de vivir en este magnífico apartamento, ubicado en una excelente zona residencial que ofrece tranquilidad, seguridad y fácil acceso a servicios, tiendas y transporte. Agenda tu visita hoy mismo y descubre el hogar que siempre has soñado. Zona 1"
